tday,stocks,cl
20050606,FXI,1497
20050607,EWC,1462
20050607,EWG,1440
20050607,EWJ,906
20050607,EWQ,1828
20050607,EWU,1245
20050607,EWY,2930
20050607,EWZ,NaN
20050607,FXI,1500
20050608,EWC,1462
20050608,EWG,1430
20050608,EWJ,905
20050608,EWQ,1826
20050608,EWU,1236
20050608,EWY,2945
20050608,EWZ,NaN
20050608,FXI,1514
20050609,EWC,1468
20050609,EWG,1433
20050609,EWJ,900
20050609,EWQ,1817
20050609,EWU,1240
20050609,EWY,2972
20050609,EWZ,NaN
20050609,FXI,1512
20050610,EWC,1481
20050610,EWG,1432
20050610,EWJ,895
20050610,EWQ,1813
20050610,EWU,1237
20050610,EWY,2979
20050610,EWZ,NaN
20050610,FXI,1518
20050613,EWC,1483
20050613,EWG,1435
20050613,EWJ,888
20050613,EWQ,1825
20050613,EWU,1234
20050613,EWY,2970
20050613,EWZ,NaN
20050613,FXI,1516
20050614,EWC,1488
20050614,EWG,1428
20050614,EWJ,892
20050614,EWQ,1806
20050614,EWU,1238
20050614,EWY,2970
20050614,EWZ,NaN
20050614,FXI,1517
20050615,EWC,1509
20050615,EWG,1419
20050615,EWJ,895
20050615,EWQ,1806
20050615,EWU,1242
20050615,EWY,3015
20050615,EWZ,NaN
20050615,FXI,1516
20050616,EWC,1523
20050616,EWG,1435
20050616,EWJ,904
20050616,EWQ,1809
20050616,EWU,1242
20050616,EWY,3018
20050616,EWZ,NaN
20050616,FXI,1515
20050617,EWC,1531
20050617,EWG,1467
20050617,EWJ,910
20050617,EWQ,1846
20050617,EWU,1260
20050617,EWY,3029
20050617,EWZ,NaN
20050617,FXI,1527
20050620,EWC,1535
20050620,EWG,1444
20050620,EWJ,900
20050620,EWQ,1829
20050620,EWU,1256
20050620,EWY,2977
20050620,EWZ,NaN
20050620,FXI,1527
20050621,EWC,1530
20050621,EWG,1448
20050621,EWJ,910
20050621,EWQ,1842
20050621,EWU,1261
20050621,EWY,2971
20050621,EWZ,NaN
20050621,FXI,1527
20050622,EWC,1539
20050622,EWG,1440
20050622,EWJ,907
20050622,EWQ,1836
20050622,EWU,1257
20050622,EWY,2997
20050622,EWZ,NaN
20050622,FXI,1548
20050623,EWC,1536
20050623,EWG,1423
20050623,EWJ,901
20050623,EWQ,1825
20050623,EWU,1252
20050623,EWY,2991
20050623,EWZ,NaN
20050623,FXI,1536
20050624,EWC,1537
20050624,EWG,1419
20050624,EWJ,899
20050624,EWQ,1815
20050624,EWU,1247
20050624,EWY,2962
20050624,EWZ,NaN
20050624,FXI,1545
20050627,EWC,1538
20050627,EWG,1415
20050627,EWJ,895
20050627,EWQ,1799
20050627,EWU,1249
20050627,EWY,2936
20050627,EWZ,NaN
20050627,FXI,1557
20050628,EWC,1546
20050628,EWG,1431
20050628,EWJ,901
20050628,EWQ,1812
20050628,EWU,1256
20050628,EWY,2945
20050628,EWZ,NaN
20050628,FXI,1574
20050629,EWC,1551
20050629,EWG,1423
20050629,EWJ,896
20050629,EWQ,1828
20050629,EWU,1247
20050629,EWY,2923
20050629,EWZ,NaN
20050629,FXI,1566
20050630,EWC,1525
20050630,EWG,1426
20050630,EWJ,892
20050630,EWQ,1831
20050630,EWU,1240
20050630,EWY,2900
20050630,EWZ,NaN
20050630,FXI,1563
20050701,EWC,1515
20050701,EWG,1419
20050701,EWJ,892
20050701,EWQ,1819
20050701,EWU,1237
20050701,EWY,2936
20050701,EWZ,NaN
20050701,FXI,1568
20050705,EWC,1530
20050705,EWG,1404
20050705,EWJ,897
20050705,EWQ,1813
20050705,EWU,1234
20050705,EWY,2908
20050705,EWZ,NaN
20050705,FXI,1581
20050706,EWC,1550
20050706,EWG,1415
20050706,EWJ,887
20050706,EWQ,1822
20050706,EWU,1237
20050706,EWY,2883
20050706,EWZ,NaN
20050706,FXI,1574
20050707,EWC,1562
20050707,EWG,1408
20050707,EWJ,887
20050707,EWQ,1809
20050707,EWU,1229
20050707,EWY,2899
20050707,EWZ,NaN
20050707,FXI,1555
20050708,EWC,1588
20050708,EWG,1432
20050708,EWJ,900
20050708,EWQ,1843
20050708,EWU,1236
20050708,EWY,2932
20050708,EWZ,NaN
20050708,FXI,1556
20050711,EWC,1596
20050711,EWG,1455
20050711,EWJ,901
20050711,EWQ,1859
20050711,EWU,1242
20050711,EWY,3028
20050711,EWZ,NaN
20050711,FXI,1570
20050712,EWC,1618
20050712,EWG,1471
20050712,EWJ,905
20050712,EWQ,1891
20050712,EWU,1254
20050712,EWY,3058
20050712,EWZ,NaN
20050712,FXI,1570
20050713,EWC,1606
20050713,EWG,1459
20050713,EWJ,894
20050713,EWQ,1879
20050713,EWU,1248
20050713,EWY,3054
20050713,EWZ,NaN
20050713,FXI,1580
20050714,EWC,1586
20050714,EWG,1464
20050714,EWJ,896
20050714,EWQ,1883
20050714,EWU,1247
20050714,EWY,3131
20050714,EWZ,NaN
20050714,FXI,1582
20050715,EWC,1572
20050715,EWG,1466
20050715,EWJ,899
20050715,EWQ,1889
20050715,EWU,1238
20050715,EWY,3095
20050715,EWZ,NaN
20050715,FXI,1580
20050718,EWC,1582
20050718,EWG,1468
20050718,EWJ,898
20050718,EWQ,1882
20050718,EWU,1231
20050718,EWY,3095
20050718,EWZ,NaN
20050718,FXI,1577
20050719,EWC,1599
20050719,EWG,1480
20050719,EWJ,900
20050719,EWQ,1895
20050719,EWU,1222
20050719,EWY,3154
20050719,EWZ,NaN
20050719,FXI,1593
20050720,EWC,1606
20050720,EWG,1506
20050720,EWJ,897
20050720,EWQ,1920
20050720,EWU,1231
20050720,EWY,3137
20050720,EWZ,NaN
20050720,FXI,1603
20050721,EWC,1611
20050721,EWG,1518
20050721,EWJ,914
20050721,EWQ,1917
20050721,EWU,1236
20050721,EWY,3190
20050721,EWZ,NaN
20050721,FXI,1662
20050722,EWC,1615
20050722,EWG,1507
20050722,EWJ,902
20050722,EWQ,1905
20050722,EWU,1232
20050722,EWY,3184
20050722,EWZ,NaN
20050722,FXI,1659
20050725,EWC,1618
20050725,EWG,1503
20050725,EWJ,897
20050725,EWQ,1897
20050725,EWU,1238
20050725,EWY,3197
20050725,EWZ,NaN
20050725,FXI,1658
20050726,EWC,1600
20050726,EWG,1502
20050726,EWJ,892
20050726,EWQ,1908
20050726,EWU,1231
20050726,EWY,3194
20050726,EWZ,NaN
20050726,FXI,1656
20050727,EWC,1616
20050727,EWG,1517
20050727,EWJ,902
20050727,EWQ,1916
20050727,EWU,1246
20050727,EWY,3203
20050727,EWZ,NaN
20050727,FXI,1680
20050728,EWC,1625
20050728,EWG,1535
20050728,EWJ,908
20050728,EWQ,1933
20050728,EWU,1256
20050728,EWY,3265
20050728,EWZ,NaN
20050728,FXI,1685
20050729,EWC,1615
20050729,EWG,1522
20050729,EWJ,901
20050729,EWQ,1922
20050729,EWU,1249
20050729,EWY,3261
20050729,EWZ,NaN
20050729,FXI,1690
20050801,EWC,1628
20050801,EWG,1546
20050801,EWJ,909
20050801,EWQ,1940
20050801,EWU,1267
20050801,EWY,3305
20050801,EWZ,NaN
20050801,FXI,1710
20050802,EWC,1653
20050802,EWG,1552
20050802,EWJ,921
20050802,EWQ,1968
20050802,EWU,1277
20050802,EWY,3349
20050802,EWZ,NaN
20050802,FXI,1746
20050803,EWC,1657
20050803,EWG,1566
20050803,EWJ,918
20050803,EWQ,1982
20050803,EWU,1282
20050803,EWY,3330
20050803,EWZ,NaN
20050803,FXI,1726
20050804,EWC,1660
20050804,EWG,1547
20050804,EWJ,908
20050804,EWQ,1959
20050804,EWU,1278
20050804,EWY,3294
20050804,EWZ,NaN
20050804,FXI,1706
20050805,EWC,1648
20050805,EWG,1540
20050805,EWJ,894
20050805,EWQ,1953
20050805,EWU,1278
20050805,EWY,3194
20050805,EWZ,NaN
20050805,FXI,1709
20050808,EWC,1662
20050808,EWG,1536
20050808,EWJ,896
20050808,EWQ,1952
20050808,EWU,1285
20050808,EWY,3226
20050808,EWZ,NaN
20050808,FXI,1734
20050809,EWC,1663
20050809,EWG,1571
20050809,EWJ,912
20050809,EWQ,1979
20050809,EWU,1296
20050809,EWY,3301
20050809,EWZ,NaN
20050809,FXI,1732
20050810,EWC,1680
20050810,EWG,1584
20050810,EWJ,939
20050810,EWQ,2003
20050810,EWU,1298
20050810,EWY,3308
20050810,EWZ,NaN
20050810,FXI,1777
20050811,EWC,1702
20050811,EWG,1593
20050811,EWJ,965
20050811,EWQ,2014
20050811,EWU,1313
20050811,EWY,3380
20050811,EWZ,NaN
20050811,FXI,1777
20050812,EWC,1700
20050812,EWG,1581
20050812,EWJ,963
20050812,EWQ,1990
20050812,EWU,1314
20050812,EWY,3382
20050812,EWZ,NaN
20050812,FXI,1777
20050815,EWC,1696
20050815,EWG,1581
20050815,EWJ,974
20050815,EWQ,1978
20050815,EWU,1316
20050815,EWY,3371
20050815,EWZ,NaN
20050815,FXI,1801
20050816,EWC,1672
20050816,EWG,1551
20050816,EWJ,959
20050816,EWQ,1963
20050816,EWU,1302
20050816,EWY,3280
20050816,EWZ,NaN
20050816,FXI,1761
20050817,EWC,1646
20050817,EWG,1547
20050817,EWJ,968
20050817,EWQ,1941
20050817,EWU,1296
20050817,EWY,3317
20050817,EWZ,NaN
20050817,FXI,1761
20050818,EWC,1621
20050818,EWG,1523
20050818,EWJ,959
20050818,EWQ,1927
20050818,EWU,1283
20050818,EWY,3213
20050818,EWZ,NaN
20050818,FXI,1715
20050819,EWC,1646
20050819,EWG,1545
20050819,EWJ,960
20050819,EWQ,1944
20050819,EWU,1290
20050819,EWY,3211
20050819,EWZ,NaN
20050819,FXI,1713
20050822,EWC,1667
20050822,EWG,1556
20050822,EWJ,988
20050822,EWQ,1953
20050822,EWU,1293
20050822,EWY,3306
20050822,EWZ,NaN
20050822,FXI,1730
20050823,EWC,1662
20050823,EWG,1553
20050823,EWJ,980
20050823,EWQ,1935
20050823,EWU,1291
20050823,EWY,3271
20050823,EWZ,NaN
20050823,FXI,1697
20050824,EWC,1676
20050824,EWG,1551
20050824,EWJ,974
20050824,EWQ,1927
20050824,EWU,1277
20050824,EWY,3167
20050824,EWZ,NaN
20050824,FXI,1670
20050825,EWC,1683
20050825,EWG,1541
20050825,EWJ,976
20050825,EWQ,1924
20050825,EWU,1284
20050825,EWY,3221
20050825,EWZ,NaN
20050825,FXI,1688
20050826,EWC,1665
20050826,EWG,1521
20050826,EWJ,973
20050826,EWQ,1906
20050826,EWU,1275
20050826,EWY,3145
20050826,EWZ,NaN
20050826,FXI,1694
20050829,EWC,1674
20050829,EWG,1530
20050829,EWJ,972
20050829,EWQ,1916
20050829,EWU,1279
20050829,EWY,3145
20050829,EWZ,NaN
20050829,FXI,1697
20050830,EWC,1684
20050830,EWG,1516
20050830,EWJ,967
20050830,EWQ,1911
20050830,EWU,1276
20050830,EWY,3113
20050830,EWZ,NaN
20050830,FXI,1687
20050831,EWC,1715
20050831,EWG,1551
20050831,EWJ,979
20050831,EWQ,1948
20050831,EWU,1299
20050831,EWY,3181
20050831,EWZ,NaN
20050831,FXI,1691
20050901,EWC,1743
20050901,EWG,1559
20050901,EWJ,988
20050901,EWQ,1984
20050901,EWU,1319
20050901,EWY,3254
20050901,EWZ,NaN
20050901,FXI,1715
20050902,EWC,1729
20050902,EWG,1565
20050902,EWJ,995
20050902,EWQ,1982
20050902,EWU,1328
20050902,EWY,3317
20050902,EWZ,NaN
20050902,FXI,1708
20050906,EWC,1729
20050906,EWG,1607
20050906,EWJ,1003
20050906,EWQ,1997
20050906,EWU,1343
20050906,EWY,3367
20050906,EWZ,NaN
20050906,FXI,1712
20050907,EWC,1730
20050907,EWG,1602
20050907,EWJ,996
20050907,EWQ,1988
20050907,EWU,1343
20050907,EWY,3416
20050907,EWZ,NaN
20050907,FXI,1709
20050908,EWC,1731
20050908,EWG,1595
20050908,EWJ,984
20050908,EWQ,1974
20050908,EWU,1334
20050908,EWY,3389
20050908,EWZ,NaN
20050908,FXI,1696
20050909,EWC,1765
20050909,EWG,1610
20050909,EWJ,1017
20050909,EWQ,2000
20050909,EWU,1341
20050909,EWY,3453
20050909,EWZ,NaN
20050909,FXI,1709
20050912,EWC,1746
20050912,EWG,1581
20050912,EWJ,1018
20050912,EWQ,1973
20050912,EWU,1327
20050912,EWY,3439
20050912,EWZ,NaN
20050912,FXI,1710
20050913,EWC,1744
20050913,EWG,1555
20050913,EWJ,1009
20050913,EWQ,1959
20050913,EWU,1320
20050913,EWY,3417
20050913,EWZ,NaN
20050913,FXI,1688
20050914,EWC,1760
20050914,EWG,1555
20050914,EWJ,1005
20050914,EWQ,1957
20050914,EWU,1320
20050914,EWY,3459
20050914,EWZ,NaN
20050914,FXI,1688
20050915,EWC,1764
20050915,EWG,1547
20050915,EWJ,1022
20050915,EWQ,1960
20050915,EWU,1320
20050915,EWY,3493
20050915,EWZ,NaN
20050915,FXI,1697
20050916,EWC,1772
20050916,EWG,1586
20050916,EWJ,1027
20050916,EWQ,1982
20050916,EWU,1334
20050916,EWY,3509
20050916,EWZ,NaN
20050916,FXI,1693
20050919,EWC,1799
20050919,EWG,1545
20050919,EWJ,1017
20050919,EWQ,1958
20050919,EWU,1332
20050919,EWY,3557
20050919,EWZ,NaN
20050919,FXI,1690
20050920,EWC,1782
20050920,EWG,1542
20050920,EWJ,1025
20050920,EWQ,1958
20050920,EWU,1316
20050920,EWY,3516
20050920,EWZ,NaN
20050920,FXI,1712
20050921,EWC,1785
20050921,EWG,1528
20050921,EWJ,1032
20050921,EWQ,1950
20050921,EWU,1319
20050921,EWY,3544
20050921,EWZ,NaN
20050921,FXI,1715
20050922,EWC,1773
20050922,EWG,1526
20050922,EWJ,1034
20050922,EWQ,1934
20050922,EWU,1314
20050922,EWY,3572
20050922,EWZ,NaN
20050922,FXI,1705
20050923,EWC,1776
20050923,EWG,1522
20050923,EWJ,1031
20050923,EWQ,1926
20050923,EWU,1306
20050923,EWY,3498
20050923,EWZ,NaN
20050923,FXI,1692
20050926,EWC,1796
20050926,EWG,1549
20050926,EWJ,1047
20050926,EWQ,1961
20050926,EWU,1313
20050926,EWY,3557
20050926,EWZ,NaN
20050926,FXI,1709
20050927,EWC,1804
20050927,EWG,1543
20050927,EWJ,1041
20050927,EWQ,1959
20050927,EWU,1307
20050927,EWY,3552
20050927,EWZ,NaN
20050927,FXI,1698
20050928,EWC,1804
20050928,EWG,1566
20050928,EWJ,1059
20050928,EWQ,1977
20050928,EWU,1314
20050928,EWY,3597
20050928,EWZ,NaN
20050928,FXI,1706
20050929,EWC,1801
20050929,EWG,1574
20050929,EWJ,1090
20050929,EWQ,1984
20050929,EWU,1318
20050929,EWY,3598
20050929,EWZ,NaN
20050929,FXI,1767
20050930,EWC,1813
20050930,EWG,1563
20050930,EWJ,1072
20050930,EWQ,1978
20050930,EWU,1309
20050930,EWY,3575
20050930,EWZ,NaN
20050930,FXI,1758
20051003,EWC,1824
20051003,EWG,1560
20051003,EWJ,1067
20051003,EWQ,1981
20051003,EWU,1309
20051003,EWY,3550
20051003,EWZ,NaN
20051003,FXI,1768
20051004,EWC,1785
20051004,EWG,1565
20051004,EWJ,1062
20051004,EWQ,1966
20051004,EWU,1302
20051004,EWY,3587
20051004,EWZ,NaN
20051004,FXI,1742
20051005,EWC,1727
20051005,EWG,1546
20051005,EWJ,1044
20051005,EWQ,1954
20051005,EWU,1288
20051005,EWY,3507
20051005,EWZ,NaN
20051005,FXI,1693
20051006,EWC,1695
20051006,EWG,1562
20051006,EWJ,1022
20051006,EWQ,1953
20051006,EWU,1285
20051006,EWY,3391
20051006,EWZ,NaN
20051006,FXI,1644
20051007,EWC,1720
20051007,EWG,1563
20051007,EWJ,1034
20051007,EWQ,1960
20051007,EWU,1280
20051007,EWY,3476
20051007,EWZ,NaN
20051007,FXI,1683
20051010,EWC,1705
20051010,EWG,1557
20051010,EWJ,1031
20051010,EWQ,1952
20051010,EWU,1274
20051010,EWY,3502
20051010,EWZ,NaN
20051010,FXI,1683
20051011,EWC,1717
20051011,EWG,1549
20051011,EWJ,1051
20051011,EWQ,1952
20051011,EWU,1275
20051011,EWY,3569
20051011,EWZ,NaN
20051011,FXI,1694
20051012,EWC,1699
20051012,EWG,1531
20051012,EWJ,1045
20051012,EWQ,1936
20051012,EWU,1266
20051012,EWY,3435
20051012,EWZ,NaN
20051012,FXI,1640
20051013,EWC,1669
20051013,EWG,1533
20051013,EWJ,1051
20051013,EWQ,1915
20051013,EWU,1254
20051013,EWY,3374
20051013,EWZ,NaN
20051013,FXI,1638
20051014,EWC,1678
20051014,EWG,1546
20051014,EWJ,1059
20051014,EWQ,1947
20051014,EWU,1269
20051014,EWY,3403
20051014,EWZ,NaN
20051014,FXI,1631
20051017,EWC,1699
20051017,EWG,1535
20051017,EWJ,1041
20051017,EWQ,1931
20051017,EWU,1261
20051017,EWY,3356
20051017,EWZ,NaN
20051017,FXI,1649
20051018,EWC,1664
20051018,EWG,1514
20051018,EWJ,1026
20051018,EWQ,1903
20051018,EWU,1242
20051018,EWY,3304
20051018,EWZ,NaN
20051018,FXI,1631
20051019,EWC,1681
20051019,EWG,1519
20051019,EWJ,1035
20051019,EWQ,1908
20051019,EWU,1254
20051019,EWY,3304
20051019,EWZ,NaN
20051019,FXI,1630
20051020,EWC,1643
20051020,EWG,1489
20051020,EWJ,1011
20051020,EWQ,1874
20051020,EWU,1229
20051020,EWY,3235
20051020,EWZ,NaN
20051020,FXI,1576
20051021,EWC,1642
20051021,EWG,1489
20051021,EWJ,1025
20051021,EWQ,1867
20051021,EWU,1231
20051021,EWY,3346
20051021,EWZ,NaN
20051021,FXI,1603
20051024,EWC,1666
20051024,EWG,1519
20051024,EWJ,1032
20051024,EWQ,1902
20051024,EWU,1253
20051024,EWY,3390
20051024,EWZ,NaN
20051024,FXI,1613
20051025,EWC,1685
20051025,EWG,1510
20051025,EWJ,1036
20051025,EWQ,1906
20051025,EWU,1254
20051025,EWY,3329
20051025,EWZ,NaN
20051025,FXI,1595
20051026,EWC,1672
20051026,EWG,1509
20051026,EWJ,1040
20051026,EWQ,1897
20051026,EWU,1250
20051026,EWY,3370
20051026,EWZ,NaN
20051026,FXI,1586
20051027,EWC,1659
20051027,EWG,1494
20051027,EWJ,1039
20051027,EWQ,1871
20051027,EWU,1249
20051027,EWY,3303
20051027,EWZ,NaN
20051027,FXI,1550
20051028,EWC,1665
20051028,EWG,1506
20051028,EWJ,1052
20051028,EWQ,1874
20051028,EWU,1263
20051028,EWY,3312
20051028,EWZ,NaN
20051028,FXI,1564
20051031,EWC,1681
20051031,EWG,1519
20051031,EWJ,1065
20051031,EWQ,1901
20051031,EWU,1277
20051031,EWY,3376
20051031,EWZ,NaN
20051031,FXI,1577
20051101,EWC,1687
20051101,EWG,1517
20051101,EWJ,1076
20051101,EWQ,1905
20051101,EWU,1276
20051101,EWY,3439
20051101,EWZ,NaN
20051101,FXI,1598
20051102,EWC,1715
20051102,EWG,1542
20051102,EWJ,1083
20051102,EWQ,1916
20051102,EWU,1296
20051102,EWY,3550
20051102,EWZ,NaN
20051102,FXI,1626
20051103,EWC,1727
20051103,EWG,1538
20051103,EWJ,1087
20051103,EWQ,1924
20051103,EWU,1305
20051103,EWY,3556
20051103,EWZ,NaN
20051103,FXI,1634
20051104,EWC,1725
20051104,EWG,1520
20051104,EWJ,1078
20051104,EWQ,1903
20051104,EWU,1294
20051104,EWY,3498
20051104,EWZ,NaN
20051104,FXI,1622
20051107,EWC,1714
20051107,EWG,1527
20051107,EWJ,1089
20051107,EWQ,1908
20051107,EWU,1298
20051107,EWY,3501
20051107,EWZ,NaN
20051107,FXI,1606
20051108,EWC,1706
20051108,EWG,1514
20051108,EWJ,1086
20051108,EWQ,1898
20051108,EWU,1294
20051108,EWY,3499
20051108,EWZ,NaN
20051108,FXI,1610
20051109,EWC,1715
20051109,EWG,1525
20051109,EWJ,1080
20051109,EWQ,1891
20051109,EWU,1291
20051109,EWY,3539
20051109,EWZ,NaN
20051109,FXI,1634
20051110,EWC,1692
20051110,EWG,1518
20051110,EWJ,1075
20051110,EWQ,1886
20051110,EWU,1298
20051110,EWY,3566
20051110,EWZ,NaN
20051110,FXI,1636
20051111,EWC,1708
20051111,EWG,1534
20051111,EWJ,1085
20051111,EWQ,1897
20051111,EWU,1298
20051111,EWY,3644
20051111,EWZ,NaN
20051111,FXI,1646
20051114,EWC,1709
20051114,EWG,1526
20051114,EWJ,1071
20051114,EWQ,1901
20051114,EWU,1292
20051114,EWY,3657
20051114,EWZ,NaN
20051114,FXI,1623
20051115,EWC,1706
20051115,EWG,1532
20051115,EWJ,1058
20051115,EWQ,1909
20051115,EWU,1277
20051115,EWY,3614
20051115,EWZ,NaN
20051115,FXI,1620
20051116,EWC,1718
20051116,EWG,1521
20051116,EWJ,1070
20051116,EWQ,1879
20051116,EWU,1269
20051116,EWY,3652
20051116,EWZ,NaN
20051116,FXI,1632
20051117,EWC,1727
20051117,EWG,1547
20051117,EWJ,1098
20051117,EWQ,1897
20051117,EWU,1283
20051117,EWY,3692
20051117,EWZ,NaN
20051117,FXI,1656
20051118,EWC,1717
20051118,EWG,1554
20051118,EWJ,1104
20051118,EWQ,1913
20051118,EWU,1285
20051118,EWY,3698
20051118,EWZ,NaN
20051118,FXI,1662
20051121,EWC,1750
20051121,EWG,1559
20051121,EWJ,1111
20051121,EWQ,1927
20051121,EWU,1293
20051121,EWY,3659
20051121,EWZ,NaN
20051121,FXI,1672
20051122,EWC,1773
20051122,EWG,1574
20051122,EWJ,1107
20051122,EWQ,1933
20051122,EWU,1298
20051122,EWY,3583
20051122,EWZ,NaN
20051122,FXI,1672
20051123,EWC,1779
20051123,EWG,1568
20051123,EWJ,1115
20051123,EWQ,1952
20051123,EWU,1296
20051123,EWY,3715
20051123,EWZ,NaN
20051123,FXI,1686
20051125,EWC,1803
20051125,EWG,1559
20051125,EWJ,1101
20051125,EWQ,1931
20051125,EWU,1290
20051125,EWY,3705
20051125,EWZ,NaN
20051125,FXI,1686
20051128,EWC,1789
20051128,EWG,1563
20051128,EWJ,1106
20051128,EWQ,1934
20051128,EWU,1289
20051128,EWY,3670
20051128,EWZ,NaN
20051128,FXI,1679
20051129,EWC,1783
20051129,EWG,1569
20051129,EWJ,1107
20051129,EWQ,1936
20051129,EWU,1287
20051129,EWY,3668
20051129,EWZ,NaN
20051129,FXI,1670
20051130,EWC,1769
20051130,EWG,1564
20051130,EWJ,1096
20051130,EWQ,1927
20051130,EWU,1279
20051130,EWY,3696
20051130,EWZ,NaN
20051130,FXI,1668
20051201,EWC,1803
20051201,EWG,1587
20051201,EWJ,1121
20051201,EWQ,1956
20051201,EWU,1302
20051201,EWY,3792
20051201,EWZ,NaN
20051201,FXI,1704
20051202,EWC,1815
20051202,EWG,1590
20051202,EWJ,1120
20051202,EWQ,1961
20051202,EWU,1309
20051202,EWY,3763
20051202,EWZ,NaN
20051202,FXI,1703
20051205,EWC,1819
20051205,EWG,1592
20051205,EWJ,1127
20051205,EWQ,1968
20051205,EWU,1314
20051205,EWY,3772
20051205,EWZ,NaN
20051205,FXI,1703
20051206,EWC,1834
20051206,EWG,1597
20051206,EWJ,1136
20051206,EWQ,1975
20051206,EWU,1316
20051206,EWY,3842
20051206,EWZ,NaN
20051206,FXI,1691
20051207,EWC,1834
20051207,EWG,1578
20051207,EWJ,1132
20051207,EWQ,1957
20051207,EWU,1306
20051207,EWY,3824
20051207,EWZ,NaN
20051207,FXI,1701
20051208,EWC,1845
20051208,EWG,1595
20051208,EWJ,1113
20051208,EWQ,1970
20051208,EWU,1321
20051208,EWY,3824
20051208,EWZ,NaN
20051208,FXI,1698
20051209,EWC,1841
20051209,EWG,1598
20051209,EWJ,1137
20051209,EWQ,1976
20051209,EWU,1323
20051209,EWY,3841
20051209,EWZ,NaN
20051209,FXI,1697
20051212,EWC,1841
20051212,EWG,1622
20051212,EWJ,1157
20051212,EWQ,2004
20051212,EWU,1333
20051212,EWY,3883
20051212,EWZ,NaN
20051212,FXI,1706
20051213,EWC,1854
20051213,EWG,1631
20051213,EWJ,1167
20051213,EWQ,2019
20051213,EWU,1335
20051213,EWY,3926
20051213,EWZ,NaN
20051213,FXI,1713
20051214,EWC,1842
20051214,EWG,1628
20051214,EWJ,1161
20051214,EWQ,2020
20051214,EWU,1338
20051214,EWY,3926
20051214,EWZ,NaN
20051214,FXI,1710
20051215,EWC,1828
20051215,EWG,1624
20051215,EWJ,1152
20051215,EWQ,2007
20051215,EWU,1322
20051215,EWY,3915
20051215,EWZ,NaN
20051215,FXI,1710
20051216,EWC,1836
20051216,EWG,1645
20051216,EWJ,1168
20051216,EWQ,2023
20051216,EWU,1335
20051216,EWY,3879
